episode,ticks,epsilon,loss,acum_reward,avg_reward,total_ticks
0,284,0.918592439533203,0.03432168988642163,-9.618692802793127,-0.033868636629553264,284
1,109,0.8893027070838003,0.02880693337828309,2.629662468708766,0.02412534374962171,393
2,46,0.8773760177614536,0.032452261942639976,0.907309668781874,0.019724123234388567,439
3,140,0.841536509416851,0.03093285986272544,-3.5987523165031154,-0.02570537368930797,579
4,39,0.8319960460481283,0.015594397727128149,0.657551896683073,0.016860305043155718,618
5,39,0.8225637425040497,0.031562179200620495,0.7150963317519881,0.018335803378256105,657
6,66,0.8066767678535423,0.01579160171071821,1.2572372074972207,0.01904904859844274,723
7,11,0.8042600019786307,0.020853933454914528,0.1061431713464626,0.009649379213314782,734
8,9,0.802331803493502,0.02923705938074919,0.07262450227585523,0.008069389141761692,743
9,55,0.7894368253109825,0.035880910448329154,0.8713970556670952,0.015843582830310822,798
10,115,0.7628906314671263,0.02292905657895606,2.6691792207963365,0.023210254093881187,913
11,38,0.7544681134827793,0.020852871125678,1.2315298821098684,0.03240868110815443,951
12,32,0.7474830431438946,0.02126651938692703,0.4538562867666902,0.014183008961459069,983
13,14,0.7445731008388593,0.01794161843145048,0.15174314487038043,0.01083879606217003,997
14,92,0.7245182413669738,0.029269484323525382,1.5281633836896087,0.016610471561843573,1089
15,48,0.7143727063897523,0.02547260251586181,1.112766197828032,0.023182629121417334,1137
16,83,0.6970109585935239,0.015076969033768354,1.7607828408996302,0.021214251095176266,1220
17,9,0.6953398877070298,0.022929646445744665,0.06435675845122865,0.007150750939025406,1229
18,28,0.6897295455878983,0.03171474868435098,0.5979709504846837,0.02135610537445299,1257
19,50,0.6796631803188012,0.011941105857522416,0.7895714542611452,0.015791429085222904,1307
20,15,0.6768141547286871,0.012037232287305718,0.1179980310387481,0.007866535402583207,1322
21,59,0.6651377165346287,0.02833187485293049,1.2948566548754612,0.021946722963990868,1381
22,9,0.6635430611566803,0.015558667144634657,0.07548478306118672,0.008387198117909635,1390
23,82,0.6476109342638157,0.017856832557276072,1.5477294385995932,0.018874749251214552,1472
24,57,0.6368203466664241,0.015815475106352863,0.8962498646357941,0.015723681835715687,1529
25,47,0.628091285530164,0.027423963434683445,0.8335328681230064,0.017734741874957584,1576
26,43,0.6202258120111781,0.02079943388948883,0.9721806206952592,0.022608851644075795,1619
27,18,0.6170702405584619,0.027896026242564806,0.25782765750622905,0.014323758750346059,1637
28,92,0.600449633468655,0.022329436611387577,1.3830757180096545,0.015033431717496245,1729
29,9,0.5990100665738672,0.018212952972842485,0.07552421624227429,0.00839157958247492,1738
30,117,0.5785200372317975,0.022730864898219075,3.8689893491880976,0.0330682850357957,1855
31,152,0.5528940468799652,0.02130266837873276,2.8165063350265394,0.018529646940964074,2007
32,46,0.5454790289419951,0.028290940206118095,0.7037365196062998,0.0152986199914413,2053
33,23,0.5418901852112573,0.020976632081684606,0.2964981244292083,0.012891222801269926,2076
34,15,0.5396186791926816,0.06036854928242974,0.1496250595433492,0.009975003969556613,2091
35,28,0.5352647719055152,0.022302829996208726,0.2966602886791906,0.010595010309971092,2119
36,36,0.5296730608663222,0.03398459020038697,0.6336339815391899,0.017600943931644165,2155
37,10,0.5282446585419426,0.02536536929401336,0.08867016568828724,0.008867016568828724,2165
38,15,0.5260303521125123,0.045456823543766706,0.14865475184178545,0.009910316789452363,2180
39,56,0.5174207840969937,0.02802411539379917,1.1096360983208033,0.019814930327157202,2236
40,32,0.5126303621995929,0.050651298669777134,0.36422458007867525,0.011382018127458602,2268
41,8,0.5115548068260681,0.07455161299731117,0.060654197981241866,0.007581774747655233,2276
42,124,0.4930197296245985,0.014263874451707181,3.825925367840187,0.030854236837420862,2400
43,172,0.4683619976742107,0.02605882535134998,3.5065154177436133,0.020386717545021006,2572
44,12,0.4668187193884732,0.03972193342823971,0.12959642947880748,0.01079970245656729,2584
45,75,0.4565680100645894,0.03450002346255133,1.5427207116811812,0.020569609489082416,2659
46,74,0.4466763954075346,0.025713346150118433,-14.571107719442605,-0.1969068610735487,2733
47,25,0.4434713964306906,0.01434473717927176,0.3051430904592672,0.012205723618370688,2758
48,132,0.42637848250395066,0.023981004746209084,4.339977733048577,0.03287861918976195,2890
49,31,0.4225577222338965,0.028129165238316354,0.5404200678988885,0.01743290541609318,2921
50,8,0.4216711492521031,0.035933268372900784,0.05067833199549718,0.006334791499437147,2929
51,13,0.4201556353383855,0.05932689861779531,0.11590998498918073,0.008916152691475441,2942
52,42,0.4150186079243014,0.023314954112007194,0.7424510480315053,0.01767740590551203,2984
53,110,0.4016650175710921,0.019663694691452672,2.707090039582537,0.024609909450750336,3094
54,116,0.3880418814117553,0.01902247459580543,2.2262340084539654,0.019191672486672116,3210
55,114,0.3751058262769156,0.023988750896263043,2.8937397284142907,0.02538368182819553,3324
56,47,0.36996415373570585,0.03220510338572462,1.3669987534459915,0.02908507986055301,3371
57,24,0.3674198074946399,0.026625644520246777,0.3287646042698081,0.01369852517790867,3395
58,19,0.3654407918190243,0.05837852364821647,0.2521055138202045,0.013268711253694975,3414
59,69,0.3580602302488354,0.012465915790532588,1.6546060216329237,0.02397979741496991,3483
60,35,0.3544260366445095,0.02448478393245474,0.4797871622928777,0.013708204636939364,3518
61,29,0.351460884219467,0.031864219948492346,0.6950571475489018,0.023967487846513855,3547
62,448,0.30734727696276315,0.015451285199441374,17.018204668721122,0.03798706399268108,3995
63,52,0.3026799595319536,0.021495729658384404,3.250722774734412,0.06251389951412331,4047
64,87,0.29496955197033187,0.01746927245025729,2.844471891667948,0.03269507921457411,4134
65,200,0.277872723734371,0.018881097239203087,9.831187095926326,0.04915593547963163,4334
66,37,0.2748874002654996,0.037077312108755686,0.596537212385287,0.016122627361764515,4371
67,39,0.27177101358065603,0.034204279324917944,1.2388726884044248,0.03176596636934422,4410
68,153,0.25965478753233656,0.014634804581897549,4.499371751387503,0.029407658505800675,4563
69,212,0.24372572413545238,0.012801109595512224,6.150612358545832,0.029012322445970906,4775
70,29,0.2416866980841852,0.03590625055682627,0.42569975236553836,0.01467930180570822,4804
71,34,0.2393054492016624,0.022338833849811206,0.9808227226753861,0.028847727137511353,4838
72,70,0.23440201649436282,0.022183571124657776,1.4923796272290786,0.021319708960415407,4908
73,25,0.23272013173224285,0.05413686079878971,0.34811118171938815,0.013924447268775526,4933
74,240,0.2166159181989963,0.01314898748670857,6.742056864167294,0.02809190360069706,5173
75,14,0.21577263509031178,0.03013065768755041,0.09337444118413951,0.006669602941724251,5187
76,90,0.21008689527851662,0.015736680240145993,3.037787202211159,0.033753191135679546,5277
77,185,0.1988027148895731,0.013991826739431095,6.429624364588475,0.03475472629507284,5462
78,168,0.18908666104402494,0.01472959395664035,6.660403639889027,0.03964525976124421,5630
