episode,ticks,epsilon,loss,acum_reward,avg_reward,total_ticks
0,9,0.9976025184885671,0.01682444257959206,0.0979061609252029,0.010878462325022546,9
1,8,0.9955094377260496,0.02087406045757234,0.06499107903135788,0.008123884878919735,17
2,63,0.9771613758636907,0.01665622534061106,1.3991894285634068,0.022209356008942964,80
3,45,0.9643456928725468,0.0031484991896124684,0.6738221687095614,0.014973825971323585,125
4,8,0.962322388619841,0.0016379773360313266,0.06254145261144983,0.007817681576431229,133
5,119,0.9288471623027823,0.0019390488694839673,2.799916727876274,0.023528711998960287,252
6,32,0.9202476434539231,0.003430641978894755,0.47869631482475866,0.014959259838273708,284
7,8,0.9183168618013431,0.0032950034919849713,0.06668387611580769,0.00833548451447596,292
8,8,0.9163901311428799,0.005969679402141992,0.06013690518212575,0.007517113147765719,300
9,22,0.9106341602269695,0.004364808143153906,0.3414249808446812,0.015519317311121873,322
10,39,0.9003103397500974,0.004039736578635897,0.8586709252111998,0.022017203210543585,361
11,10,0.8978824167972879,0.002037238139664055,0.0982716273410873,0.009827162734108729,371
12,31,0.8898365289158622,0.0023012505013368,0.6880132611444437,0.022193976165949796,402
13,52,0.8763236402284401,0.002520286203050021,0.7588353171146693,0.014592986867589796,454
14,31,0.8684709396685264,0.004013791196673684,0.5984127472029411,0.019303637006546488,485
15,13,0.8653495978478647,0.0026307388216082472,0.13241079834765626,0.01018544602674279,498
16,40,0.855282504765433,0.003055260284983352,0.5742845960273072,0.01435711490068268,538
17,9,0.853231980773206,0.004284320156519546,0.06455173771975516,0.007172415302195017,547
18,35,0.8445719567169815,0.0008190239508284743,0.49086351454292354,0.01402467184408353,582
19,17,0.8405271199443868,0.005533004287437226,0.29438086318223056,0.01731652136366062,599
20,30,0.8332451640985706,0.0023343260798507496,0.5725198849556092,0.019083996165186974,629
21,11,0.8307488005508926,0.006231146774635735,0.12956607704296427,0.011778734276633116,640
22,39,0.821330636975603,0.002159968976407538,0.7583111238723484,0.019443874971085857,679
