episode,ticks,epsilon,loss,acum_reward,avg_reward,total_ticks
0,120,0.9649245607657957,0.01476890134319433,-0.4291684778918716,-0.0035764039824322637,120
1,43,0.9528409850891864,0.01506803719796026,0.6689663356548005,0.015557356643134894,163
2,9,0.9505565664440996,0.01166505750734359,0.07146683319446297,0.00794075924382922,172
3,18,0.9457203453337004,0.01366239839565411,0.2398746494926095,0.013326369416256083,190
4,31,0.937245783716958,0.013693250677592474,1.115459333734204,0.03598255915271626,221
5,8,0.9352793380802522,0.013134892128590536,0.05727986007247369,0.007159982509059211,229
6,42,0.9238441574104151,0.013876789186754411,0.66331589828125,0.015793235673363097,271
7,11,0.9210763635153376,0.005866965368609685,0.1315367205174184,0.011957883683401673,282
8,35,0.9117277412819866,0.009177626040523787,0.7028214571081519,0.020080613060232913,317
9,117,0.8805407392376008,0.009867954542031772,1.587186643590766,0.013565697808468086,434
10,9,0.8784296590952151,0.01616166759130364,0.07396350208767502,0.008218166898630558,443
11,70,0.8604304002574455,0.009233127313868092,0.015248710320491465,0.0002178387188641638,513
12,27,0.8537441504264882,0.011455942771000857,0.4722806052217988,0.01749187426747403,540
13,33,0.8455862036361113,0.02030009674534526,-1.589613525530174,-0.048170106834247696,573
14,9,0.8435589263465708,0.018261740545211878,0.0841563039049347,0.009350700433881634,582
15,30,0.8362507042687323,0.010016328402707586,0.5823733577397311,0.019412445257991035,612
16,13,0.8332451640985706,0.012822372119654365,0.14256615187275257,0.010966627067134813,625
17,24,0.827514705675091,0.011376884982685928,0.23416615387672596,0.009756923078196915,649
18,20,0.8228105856797536,0.01956823550858644,0.24242521057097652,0.012121260528548826,669
19,26,0.816661671160635,0.00919042981709376,0.369021682759081,0.014193141644580038,695
20,15,0.8132383725813143,0.017179013477289118,0.1814863289774122,0.012099088598494148,710
21,9,0.8112886486186628,0.016610986312520656,0.08397726264127917,0.00933080696014213,719
22,5,0.8103155402485782,0.019888169213663785,0.03894496156215935,0.007788992312431869,724
23,97,0.7873079018683198,0.009990354823305528,2.0809399472308403,0.021452989146709695,821
24,36,0.7790831904410223,0.0118090695021288,0.672740719636705,0.018687242212130695,857
25,25,0.7734931013879359,0.011755959773627821,0.293012259302757,0.01172049037211028,882
26,71,0.7574167274989856,0.009041841544527914,1.3025076023873083,0.018345177498412794,953
27,26,0.7517565053363187,0.011268165229469291,0.6623089273173439,0.025473420281436305,979
28,167,0.7152305969588193,0.01034782257408121,-1.6881610710734942,-0.010108748928583797,1146
29,40,0.7069099216931295,0.00983895241721271,1.1101178194458052,0.027752945486145132,1186
30,123,0.6815010265721688,0.012558803972182416,1.8454878050781263,0.015003965894944116,1309
31,56,0.6703468613850168,0.01065221391780012,1.323136216554636,0.023627432438475645,1365
32,19,0.6667362042573386,0.022916948176938796,0.18973424868139332,0.009986013088494386,1384
33,67,0.6536627209492203,0.01286699257817068,0.843127420242756,0.012583991346906806,1451
34,99,0.634721988947808,0.010177902830303473,1.9118770647139671,0.019311889542565325,1550
35,41,0.6271497137144667,0.015094058546266042,0.4187732897106624,0.010213982675869815,1591
36,50,0.6179966795476057,0.01161188339789078,1.8619911367974784,0.03723982273594957,1641
37,44,0.6100745416670896,0.010841720429721879,1.0870900680705682,0.024706592456149278,1685
38,143,0.5846274214232693,0.01136981516864146,3.3973289945423293,0.023757545416379925,1828
39,23,0.5807810105717619,0.023228213509830075,0.3236090598044166,0.014069959121931158,1851
40,74,0.5681983025631607,0.014323732265009196,1.5437516766754718,0.020861509144263133,1925
41,20,0.5649683019624784,0.027434672752679034,0.40414163093458927,0.020207081546729462,1945
42,28,0.5604098615270727,0.023238901530573588,0.3564049521972132,0.012728748292757613,1973
43,8,0.5592340594630757,0.05653865177737316,0.0722679293214593,0.009033491165182412,1981
44,65,0.5485976067188758,0.013956558291367742,1.2306338381416795,0.01893282827910276,2046
45,61,0.5388097366850287,0.02433570351257779,-2.0738771838325616,-0.03399798662020593,2107
46,9,0.5375179503031463,0.04683005066403388,0.08507071640728231,0.009452301823031369,2116
47,13,0.5355860753479772,0.046623072641243476,0.13067998342589562,0.010052306417376587,2129
48,15,0.5333409950220732,0.032921524070358525,0.15990414579839324,0.01066027638655955,2144
49,41,0.5269782017395752,0.014398364244980127,0.8290788346896621,0.020221434992430783,2185
50,19,0.5241397643426867,0.027494525748471988,0.20241514145654596,0.010653428497712945,2204
51,27,0.5200667685376966,0.0331876575617095,0.35188186963208407,0.013032661838225336,2231
52,5,0.5194429691953435,0.06567660451401025,0.044528798273727896,0.00890575965474558,2236
53,8,0.5183531202165187,0.07864928510389291,0.07362545547904602,0.009203181934880752,2244
54,74,0.5071229218486161,0.010298211226137562,1.8522188199090504,0.025029984052825006,2318
55,137,0.48684573275975324,0.016408399766624247,-7.251663810819761,-0.05293185263372088,2455
56,69,0.4770132373562392,0.018205689272360978,3.498627546119552,0.0507047470452109,2524
57,8,0.4760124106621675,0.06852670679290895,0.062445113245839276,0.0078056391557299095,2532
