episode,ticks,epsilon,loss,acum_reward,avg_reward,total_ticks
0,22,0.9937188641384297,0.02479864699390336,0.5039760933585038,0.022908004243568356,22
1,8,0.9916339317136098,0.013074962509563193,0.06496773045182554,0.008120966306478192,30
2,15,0.9874771809445709,0.025614198630986115,0.21033357071380565,0.014022238047587043,45
3,58,0.9707323853954611,0.036873117947834544,1.1462017876221864,0.01976209978658942,103
4,60,0.9536990567672813,0.023969438237675906,1.7952197424620573,0.02992032904103429,163
5,177,0.9046428690433931,0.0258884726990153,4.899343227326408,0.02767990523913225,340
6,8,0.9027448279387936,0.01672815129859373,0.07647344976807459,0.009559181221009324,348
7,11,0.9000402466481724,0.019659824796359648,0.12022422411689739,0.010929474919717944,359
8,9,0.8978824167972879,0.00854012794378731,0.08088870069133028,0.008987633410147808,368
9,28,0.890637862543976,0.025397269063562686,0.42164737428608023,0.015058834795931437,396
10,8,0.8887692054967937,0.0162834362358808,0.07032018239344448,0.00879002279918056,404
11,17,0.8845126985927314,0.010324217903209554,0.26243962718205527,0.015437625128356192,421
12,21,0.8792207203776994,0.02200038275988221,0.21937618375263332,0.010446484940601587,442
13,58,0.8643116455257794,0.01724249303672344,1.175914374977993,0.02027438577548264,500
14,59,0.8494004894294178,0.022517555564510246,1.384314019490115,0.023462949482883303,559
15,64,0.8334952126623694,0.025287864272861005,0.3412293264659447,0.005331708226030386,623
16,73,0.815682118064352,0.016290179412662417,1.600711115883836,0.02192754953265529,696
17,22,0.8105587078609364,0.0168561437697318,0.2659032856439831,0.012086512983817412,718
18,36,0.802091103952454,0.01700305383678824,0.4291143777401526,0.01191984382611535,754
19,12,0.799448170089203,0.006541443666113385,0.09827706507184653,0.008189755422653877,766
20,5,0.798489263900774,0.005468427440428058,0.038897395486776135,0.007779479097355227,771
21,14,0.7953807550048818,0.01004809758380836,0.16375307002172704,0.011696647858694788,785
22,17,0.791571505478573,0.015990357059469235,0.14635333137641598,0.008609019492730352,802
23,39,0.782597493219763,0.024941602308888085,0.8304203064001806,0.0212928283692354,841
24,8,0.7809555168539312,0.0409250408411026,0.05700045892023982,0.007125057365029977,849
25,46,0.7704819022456585,0.01368793049953988,0.8449372064206367,0.01836820013957906,895
26,43,0.7608332967983537,0.04093383522960594,0.805512914660459,0.018732858480475793,938
27,86,0.7416744869034723,0.0245440523934777,-1.9526010299656047,-0.02270466313913494,1024
