episode,ticks,epsilon,loss,acum_reward,avg_reward,total_ticks
0,51,0.9851097226602945,0.04195966899738315,1.3639563403096944,0.026744241966856753,51
1,52,0.9701500333301386,0.0169862212109225,0.7186927210315279,0.013821013865990921,103
2,93,0.9437361191265148,0.01797666334548051,-1.6478460111374413,-0.017718774313305822,196
3,60,0.9271764908528422,0.025455430404517188,-3.9542047900975694,-0.06590341316829282,256
4,75,0.9068169459054556,0.029678876441321337,1.9002340423174815,0.02533645389756642,331
5,9,0.9046428690433931,0.01715942482567496,0.07190916809328042,0.007989907565920046,340
6,19,0.8997702345741779,0.008224083690349385,0.2022846354643692,0.010646559761282589,359
7,8,0.8978824167972879,0.021069604395961505,0.06806354074147687,0.008507942592684609,367
8,29,0.8903706711852128,0.027676054006688305,0.8084732893885919,0.027878389289261788,396
9,8,0.8885025747351447,0.01572314670556807,0.06728575596857943,0.008410719496072428,404
10,8,0.8866383977586842,0.017428019076760393,0.07416594996941653,0.009270743746177066,412
11,29,0.8792207203776994,0.02106631855106351,0.5902345277313439,0.020352914749356684,441
12,8,0.8773760177614536,0.006917594673723215,0.06838702236366573,0.008548377795458216,449
13,94,0.853231980773206,0.02032569216408953,-24.54743282421811,-0.261142902385299,543
14,133,0.8200993799959871,0.021659123328071014,-34.87832798670816,-0.26224306756923427,676
15,73,0.8025725752660817,0.014140384563850677,-0.5978870407521106,-0.00819023343496042,749
16,8,0.8008886889619868,0.0014394777634123557,0.0692815422000084,0.00866019277500105,757
17,21,0.7960970274048432,0.01401123836816017,0.29319150895989105,0.013961500426661479,778
18,120,0.7681735744955747,0.018973349678312483,0.5212930557683988,0.00434410879806999,898
19,22,0.7633485719089,0.012961409904784721,0.33997876126734183,0.015453580057606447,920
20,61,0.7497291967587715,0.015338483941735323,1.7943816738603746,0.029416093014104503,981
21,51,0.7385655210893588,0.021049705941288667,1.1819980338140836,0.023176432035570266,1032
22,32,0.7317276812622124,0.012061730365250378,0.48228323575116944,0.015071351117224045,1064
23,39,0.7234321158757502,0.014227755777917048,0.5898272565464202,0.01512377580888257,1103
24,14,0.7206158035351333,0.010646532131171884,0.19497957990731327,0.013927112850522377,1117
25,17,0.717164619443748,0.01328094354882042,0.1784358922852893,0.010496228957958195,1134
26,93,0.6976386450304534,0.0156660749949776,0.1197791392000438,0.0012879477333338043,1227
27,66,0.6841644704515047,0.014894112496359881,1.374549167753397,0.020826502541718136,1293
28,39,0.6764081271491239,0.017402535439079003,0.46011840605039916,0.011797907847446132,1332
29,106,0.6554302605444932,0.02286978270519152,0.07239894280396264,0.0006830088943770061,1438
30,16,0.6524870101432866,0.025390112902641704,0.16398135952490153,0.010248834970306346,1454
31,11,0.6505321895722994,0.005923544468117825,0.10455724219447995,0.009505203835861814,1465
32,32,0.6445093861951023,0.021579053028858652,0.6089194262401934,0.019028732070006042,1497
33,73,0.6307352139009005,0.012558307219819653,-0.388843019268279,-0.0053266167023051925,1570
34,34,0.6245208151144761,0.02311086865762156,0.9269800924923134,0.027264120367420982,1604
35,37,0.6178112805437415,0.01231146198331255,0.6848753165063732,0.01851014368936144,1641
36,13,0.6155908260654678,0.030961161893698703,0.17089726603586458,0.013145943541220352,1654
