episode,ticks,epsilon,loss,acum_reward,avg_reward,total_ticks
0,81,0.9762821944326016,0.0287177188204365,-2.0551220427366976,-0.025371877070823428,81
1,8,0.9742338460753309,0.01979817368555814,0.06125041634768421,0.007656302043460526,89
2,51,0.9597272339135414,0.028579360175243373,1.1448360559568074,0.022447765803074653,140
3,8,0.957713619700125,0.028409071208443493,0.058501521655042174,0.007312690206880272,148
4,21,0.9519836854439455,0.027292951704155365,0.2154491680235728,0.010259484191598705,169
5,85,0.9282899376016454,0.026888006187993384,1.6953625136028745,0.019945441336504405,254
6,61,0.9117277412819866,0.029722211421343316,1.226742719992219,0.020110536393315066,315
7,16,0.9076335710828719,0.03626906301218469,0.13757267021933448,0.008598291888708405,331
8,171,0.8624982238026561,0.028085316497783307,3.087322457207331,0.01805451729361012,502
9,35,0.8537441504264882,0.05916361003286771,0.4260405268535824,0.012172586481530925,537
10,27,0.8471098582399708,0.02359695843727052,0.581205079945799,0.02152611407206663,564
11,38,0.8377575373155118,0.024787681137192857,0.5826320966776053,0.015332423596779087,602
12,38,0.8285084685322288,0.028987137420029428,0.7487427850821488,0.01970375750216181,640
13,61,0.8137265352670863,0.04898794357213177,1.2095331532724363,0.019828412348728463,701
14,52,0.8013694385018385,0.03905690650339448,1.2334274681354345,0.02371975900260451,753
15,57,0.788016904338937,0.037784319361228405,0.3600072494288531,0.006315916656646546,810
16,52,0.7760502291507289,0.03530599150466374,0.328006638450846,0.006307819970208577,862
17,5,0.7751193878590648,0.10164175443351268,0.03670907832453505,0.00734181566490701,867
18,100,0.7524334923426997,0.04833280659383718,-6.418005294522184,-0.06418005294522185,967
19,19,0.7483806959342588,0.06382113251158061,0.2484620432995047,0.013076949647342353,986
20,10,0.7463624911121275,0.04093929653754458,0.08773090553826654,0.008773090553826654,996
21,49,0.7356902945881408,0.038700409148040474,-2.0197467608454187,-0.04121932164990651,1045
22,46,0.7258237446371217,0.05403304744496658,-1.8872041997688767,-0.04102617825584515,1091
23,57,0.7137299638153443,0.06102366489551315,-3.8856288279724867,-0.06816892680653486,1148
24,153,0.681910111267019,0.05817381329378644,4.028061723409417,0.026327200806597496,1301
25,69,0.668138031974806,0.061623790426339205,3.262311001122984,0.04727986958149252,1370
26,16,0.6651377165346287,0.05668935294579569,0.21214326652830798,0.013258954158019249,1386
27,96,0.6464461085072708,0.061864242307275795,3.382745678467715,0.03523693415070536,1482
28,17,0.6433501390396659,0.16424535640157287,0.2758013090842155,0.01622360641671856,1499
29,183,0.6091599787569811,0.0954536942640342,8.433204570594514,0.04608308508521592,1682
30,18,0.6060607078110178,0.20884506834166436,0.2534585243722557,0.014081029131791982,1700
31,113,0.5860324233232872,0.08509058731871154,7.27671589861257,0.0643957159169254,1813
32,122,0.565137843315473,0.08505734630492669,8.18723841637417,0.06710851160962435,1935
33,151,0.5402667075560711,0.09120299447123602,4.491094368362734,0.029742346810349228,2086
34,41,0.5338212900657971,0.11775367973081248,0.3345553635304168,0.00815988691537602,2127
35,55,0.5252417798696536,0.10071740157475957,0.7329530907390127,0.013326419831618414,2182
36,61,0.5158706156233148,0.06658935059595322,1.364123027751333,0.022362672586087425,2243
37,43,0.5094104612478513,0.14003546009523635,0.8699256537096376,0.020230829156038084,2286
38,41,0.5033331608132051,0.14569661516599708,1.1723756073906344,0.02859452700952767,2327
39,61,0.494352881822871,0.10787197647267498,1.9000442527576458,0.03114826643864993,2388
40,100,0.479884352199036,0.10258710861865439,2.441838117312663,0.024418381173126627,2488
41,9,0.47873383833701294,0.29828730871668085,0.08906346843501524,0.009895940937223915,2497
42,501,0.4120407603652087,0.10516240106763881,26.52099554577812,0.052936118853848545,2998
43,48,0.4062708932898965,0.1582611956000619,1.4087942997927259,0.02934988124568179,3046
44,501,0.3496727291451191,0.1033813005600162,30.48407724463562,0.06084646156613897,3547
45,5,0.34925331065565696,0.716310137975961,0.04528570429106351,0.009057140858212702,3552
46,75,0.3415841791079223,0.13048739286787167,1.8284800011308036,0.024379733348410714,3627
47,42,0.3374078045821313,0.22400902048433463,0.8631756792597062,0.020551801887135863,3669
48,125,0.3250850109467899,0.11186953682159582,3.5259809674762312,0.02820784773980985,3794
49,501,0.2797969651761952,0.07646715364145365,29.343401836346107,0.05856966434400421,4295
50,395,0.24860032396212886,0.08385766715876637,20.391652630320003,0.05162443703878482,4690
51,35,0.2460771124154328,0.15790843057745535,0.847422388329762,0.0242120682379932,4725
52,46,0.24277690288526832,0.12349162663066755,1.2167386443288633,0.026450840094105723,4771
53,333,0.21975822912283124,0.06202311860159552,10.196331901423688,0.030619615319590655,5104
54,466,0.19114017403268885,0.053639826570273975,20.02285231351372,0.04296749423500798,5570
55,67,0.18739226315163718,0.12062775346743392,1.452084363261767,0.02167290094420548,5637
56,194,0.17684884718106067,0.054772693014027346,10.198878590327901,0.05257153912540155,5831
57,63,0.17358937673768973,0.10438931878343283,1.8023674394008824,0.02860900697461718,5894
58,228,0.1621598195580706,0.05566188596149948,10.491112295550648,0.04601365041908179,6122
59,106,0.15713065605931467,0.07980920427529704,3.7246202898371625,0.03513792726261474,6228
60,34,0.1555825063178631,0.14685683618641168,0.7736577027136455,0.022754638315107222,6262
61,30,0.15423460817810636,0.16769647333991694,0.491228524892814,0.016374284163093798,6292
62,32,0.15280666236096485,0.17227049000848638,0.5022143072633845,0.015694197101980764,6324
63,54,0.15039589122254862,0.09508755002429502,1.4803170691885992,0.027413279059048133,6378
64,250,0.13956910918077992,0.032847198711487405,11.327561376161716,0.045310245504646865,6628
65,131,0.13422990432522008,0.048814469777754894,4.9460304693197275,0.03775595778106662,6759
