episode,ticks,epsilon,loss,acum_reward,avg_reward,total_ticks
0,87,0.9583802792808146,1.4797534145430384,54.86630161076665,0.6306471449513408,87
1,82,0.9207924399839357,0.929330218847842,68.7291460498667,0.8381603176813012,169
2,72,0.889114384918362,0.09520845512227222,61.35466614543338,0.8521481409087969,241
3,58,0.8645584307019936,0.043209021061619717,46.67222421550666,0.8046935209570114,299
4,61,0.8394202830818028,0.0789642085540242,46.64667850740001,0.7646996476622953,360
5,61,0.8150130594146197,0.1381552752702758,50.36389022146668,0.8256375446142079,421
6,86,0.7814831850918409,0.038241698458917124,69.52159779403334,0.8083906720236435,507
7,60,0.7591401270808573,0.11389147394244598,51.08929792333334,0.8514882987222223,567
8,77,0.7311926754228393,0.10973890125922764,68.4414180801067,0.8888495854559312,644
9,82,0.7025151730023247,0.1037633273553649,62.50700112050004,0.7622805014695128,726
10,48,0.6865377739367521,0.06899743526325135,37.42168021876001,0.7796183378908336,774
11,82,0.6596116444286021,0.07299217108308168,65.50359680609998,0.7988243512939022,856
12,85,0.6327914252317368,0.07158602429012985,69.26037125543333,0.8148278971227451,941
13,56,0.6159304883583188,0.12641232999214122,47.09534265593334,0.8409882617130953,997
14,56,0.5995188167260429,0.1732655481116256,45.52056632325,0.8128672557723214,1053
15,71,0.5791831411197493,0.241485987272388,60.698339506796664,0.8549061902365728,1124
16,46,0.5665771348847519,0.1548653766743408,31.070556969643327,0.6754468906444202,1170
17,47,0.55396837747905,0.18918059868094056,31.915005146699997,0.6790426626957446,1217
18,69,0.5357133519937914,0.15896374101630764,60.728262139033326,0.8801197411454105,1286
19,63,0.5196167909497387,0.1842958070665768,53.223988071966666,0.8448252074915343,1349
20,64,0.5037518807918635,0.18448247723731936,52.62319676093334,0.8222374493895834,1413
21,53,0.49106547524569666,0.15713304289221564,43.64949402700001,0.8235753590000002,1466
22,92,0.4694520746233903,0.1381875471642922,70.17592313456666,0.7627817732018115,1558
23,60,0.45603016723397605,0.19396014113067253,48.84412702009999,0.8140687836683331,1618
24,92,0.43595878531621046,0.1270817882598393,63.847532768066664,0.693994921392029,1710
25,103,0.4144842932364056,0.09541965358201558,65.67234371509004,0.6375955700494178,1813
26,97,0.3952518677702707,0.1747653991403015,77.53924027566667,0.7993736110893471,1910
27,56,0.384720250991275,0.309771426538191,38.72030874860002,0.6914340847964289,1966
28,51,0.37540683165676303,0.5993408339966253,42.08219395243333,0.8251410578908496,2017
29,82,0.3606833111875667,0.31857584534522754,66.96367560610001,0.8166301903182929,2099
30,72,0.3482747104031893,0.5490992920029688,56.006242040400004,0.7778644727833334,2171
31,60,0.3383173342155206,0.850276671469995,49.43866521583335,0.8239777535972226,2231
32,67,0.3274961128836704,0.4488159611653678,54.99228312813334,0.82078034519602,2298
33,91,0.3132385551383865,0.42874581398337885,60.13894461616668,0.660867523254579,2389
34,114,0.29617516488908585,0.48184159413218813,86.99526632980005,0.7631163713140355,2503
35,50,0.2891498455836096,0.6947239534859545,40.71218082040001,0.8142436164080001,2553
36,79,0.27822647000552486,0.4853356013850374,69.50499388626666,0.8798100491932489,2632
37,42,0.2727158527408658,0.25589999617416953,31.225731913399997,0.7434698074619047,2674
38,49,0.26638018192687324,0.8778124258910515,38.72270251180002,0.7902592349346943,2723
39,34,0.2621509655999066,0.22850771883916904,25.1485075395,0.7396619864558823,2757
40,109,0.248491133032619,0.36031747415138876,96.41651998566662,0.8845552292262993,2866
41,101,0.2364873655331738,0.4283112656871573,88.6005456671,0.8772331254168316,2967
42,75,0.22800912629646453,0.7826635327040883,54.815663722500005,0.7308755163,3042
43,74,0.21994481033516405,0.43646665851410005,67.05320880266666,0.9061244432792792,3116
44,86,0.21089621686381227,0.3994891775386519,78.03047006366668,0.9073310472519381,3202
45,112,0.1996073914854515,0.6616357022154001,105.83497128115665,0.944955100724613,3314
46,116,0.18854527051369363,0.3667760410815455,107.1198992887667,0.9234474076617819,3430
47,58,0.1833379438648595,0.2966092508577276,47.994418187800015,0.8274899687551727,3488
48,425,0.1483802513860542,0.21484505045510857,397.26731776536684,0.9347466300361573,3913
49,277,0.12931403921533124,0.24720987093264607,263.7674267093999,0.9522289772902524,4190
50,50,0.12624669082199513,0.9113517329816386,40.52134551620001,0.8104269103240002,4240
51,53,0.12306731466540052,0.5569497294996355,41.97286842676666,0.7919409137125785,4293
52,38,0.12087137671753892,0.3718411846601061,28.8961577524,0.7604252040105264,4331
53,200,0.10947565761108745,0.35917769613457495,190.0792003771364,0.950396001885682,4531
54,154,0.10146188526072344,0.20137307459612527,146.95421444619998,0.9542481457545453,4685
55,188,0.09244926019031086,0.19880199877499105,180.60492895816665,0.9606645157349291,4873
56,473,0.07304685327129916,0.2709600126780084,443.5776958414002,0.937796397127696,5346
57,127,0.06862009560557188,0.5331170814014204,117.3151315792334,0.9237411935372708,5473
58,533,0.05261593568003324,0.23002503659893211,499.4710838101004,0.9370939658726086,6006
59,172,0.048327355967707604,0.466927364939439,164.4130927237667,0.9558900739753878,6178
60,222,0.04329210419825986,0.2691172216342458,213.27068901055998,0.9606787793268468,6400
61,157,0.04006290668288675,0.5437779272860428,147.77999643273338,0.941273862628875,6557
62,395,0.03291411998116057,0.4979046060840109,363.8483024955002,0.9211349430265828,6952
63,338,0.02782290856496247,0.37850854510718357,309.18996945213337,0.9147632232311638,7290
64,472,0.02199468780656192,0.3560847782943669,449.7851099197198,0.9529345549146606,7762
65,578,0.01999089815867558,0.20509368316307386,545.0590194858036,0.9430086842314941,8340
66,68,0.01999089815867558,0.8017387925450855,59.361622188166685,0.8729650321789219,8408
67,542,0.01999089815867558,0.26564965987779343,507.1402360508996,0.9356830923448333,8950
68,784,0.01999089815867558,0.2377466797205794,719.0472291560468,0.9171520780051617,9734
69,414,0.01999089815867558,0.3215892072397348,380.3540141255332,0.9187295027186791,10148
70,372,0.01999089815867558,0.23737624777193572,333.51473035573,0.896544974074543,10520
71,253,0.01999089815867558,0.21564218737976512,226.5816218352001,0.895579532945455,10773
72,617,0.01999089815867558,0.16146403046078464,559.9738732354667,0.9075751592146949,11390
73,63,0.01999089815867558,0.2105842904293529,50.51734840919998,0.8018626731619045,11453
74,95,0.01999089815867558,0.5847925111596276,87.09549936783331,0.9167947301877191,11548
75,285,0.01999089815867558,0.4788930848461361,259.20025446460005,0.9094745770687721,11833
76,372,0.01999089815867558,0.20652096180890445,344.4686050582667,0.9259908738125449,12205
77,804,0.01999089815867558,0.14794103636462222,708.123157112501,0.8807501954135584,13009
78,70,0.01999089815867558,0.22804458159890992,49.36161525193334,0.7051659321704763,13079
79,304,0.01999089815867558,0.23255735430633181,273.97177901033325,0.901222957270833,13383
80,447,0.01999089815867558,0.37348371237615274,398.9670005929662,0.8925436254876201,13830
81,119,0.01999089815867558,0.929796140810461,106.51558996186664,0.8950889912761902,13949
82,492,0.01999089815867558,0.3525856351920385,454.00061196016657,0.9227654714637532,14441
83,1007,0.01999089815867558,0.2105223444793781,944.7762055818322,0.9382087443712336,15448
84,136,0.01999089815867558,0.3912365954921196,124.17030841420001,0.9130169736338236,15584
85,92,0.01999089815867558,2.373755094891986,79.79457096873332,0.8673322931384057,15676
86,90,0.01999089815867558,2.3778110475975156,68.73582344886668,0.7637313716540742,15766
87,779,0.01999089815867558,0.27309060036896854,716.390952033467,0.9196289499787766,16545
88,491,0.01999089815867558,0.2545221426283781,460.9199430784669,0.938737154945961,17036
89,364,0.01999089815867558,0.2619402527277743,321.4231240444333,0.8830305605616299,17400
90,1501,0.01999089815867558,0.2504385182557253,1377.7148536941672,0.9178646593565405,18901
91,78,0.01999089815867558,2.049461204083403,63.98228454360001,0.8202856992769232,18979
92,1052,0.01999089815867558,0.28643846239921994,964.2889601664009,0.9166244868501909,20031
93,1089,0.01999089815867558,0.25272429711423794,962.1169217106655,0.8834866131411069,21120
94,586,0.01999089815867558,0.27344286665200473,514.0180004122329,0.8771638232290665,21706
95,339,0.01999089815867558,0.48637600080886423,302.1421803535668,0.8912748682996071,22045
96,70,0.01999089815867558,1.477476614609272,60.39432256756668,0.8627760366795241,22115
97,64,0.01999089815867558,2.0247738376400264,55.486054196733335,0.8669695968239584,22179
98,77,0.01999089815867558,0.6357580530528069,68.58117383296668,0.8906645952333335,22256
99,109,0.01999089815867558,0.48960677086543336,102.16593515003336,0.9373021573397556,22365
100,198,0.01999089815867558,1.0063355866089254,175.27339174770006,0.8852191502409094,22563
101,1180,0.01999089815867558,0.29389833619709677,1122.5149745605656,0.951283876746242,23743
102,1774,0.01999089815867558,0.2611297795921106,1664.656181055965,0.9383631234813782,25517
103,198,0.01999089815867558,1.074189145150354,184.71681811486664,0.9329132228023568,25715
104,97,0.01999089815867558,1.1341463235943798,89.02822583259997,0.9178167611608244,25812
105,1930,0.01999089815867558,0.2517143844950553,1772.0964283173746,0.9181846778846501,27742
106,282,0.01999089815867558,0.4511346414691376,250.13262705619988,0.8869951314049641,28024
107,463,0.01999089815867558,0.4413060805720147,409.38097889816686,0.8841921790457168,28487
108,904,0.01999089815867558,0.28233658115167914,836.2866977989678,0.9250959046448759,29391
109,1633,0.01999089815867558,0.4788888543595297,1471.6812351707388,0.901213248726723,31024
110,1851,0.01999089815867558,0.346496989216802,1688.3630189792361,0.9121356126305976,32875
111,1578,0.01999089815867558,0.31649521565376354,1451.2290527829362,0.9196635315481217,34453
112,62,0.01999089815867558,2.729489546264748,48.031377242999994,0.7746996329516128,34515
113,1136,0.01999089815867558,0.2934448604396893,1027.5296326755386,0.9045155217214248,35651
114,774,0.01999089815867558,0.27754863081644604,696.848830136833,0.9003214859649006,36425
115,1832,0.01999089815867558,0.15996031494117563,1607.9260799112342,0.8776889082484903,38257
116,190,0.01999089815867558,0.7145434804201278,151.77656668023334,0.7988240351591228,38447
117,305,0.01999089815867558,0.4490183391975465,271.6067649514336,0.8905139834473232,38752
118,52,0.01999089815867558,1.5842890661870814,45.071605730200005,0.8667616486576925,38804
119,266,0.01999089815867558,0.5092275269820945,223.14233371590015,0.8388809538191735,39070
120,168,0.01999089815867558,0.4888273779340967,145.67664022813338,0.867122858500794,39238
121,372,0.01999089815867558,0.1701123633449483,325.03851900203324,0.873759459682885,39610
122,129,0.01999089815867558,0.3256056435174355,112.68816656443332,0.8735516787940567,39739
123,247,0.01999089815867558,0.6297404529107906,219.73333960939976,0.8896086623862338,39986
124,1570,0.01999089815867558,0.1518613415403143,1351.4890311817655,0.8608210389692774,41556
125,298,0.01999089815867558,0.3951484549021916,244.30470420440008,0.8198144436389264,41854
