episode,ticks,epsilon,loss,acum_reward,avg_reward,total_ticks
0,49,1,0.0,38.518534704833314,0.7860925449965982,49
1,69,0.9964061134768937,688.0582950287971,59.360537166833346,0.860297640099034,118
2,141,0.968697221894186,25598.65134078222,113.38509538920674,0.8041496126894095,259
3,96,0.9502738234772875,12335.625208536783,68.58366436763336,0.7144131704961808,355
4,71,0.9368739593721225,24845291.973481514,55.11397363606668,0.776253149803756,426
5,77,0.9225552058900052,949697299.1168832,58.51006875965999,0.7598710228527271,503
6,85,0.90700278228616,1129508182.0235295,65.41513542536666,0.7695898285337254,588
7,145,0.8810748805682049,302085486.4,108.18709095409999,0.7461178686489655,733
8,61,0.8703900087614466,65349409.7704918,47.09091285808667,0.7719821780014208,794
9,45,0.8625908675274215,228461106.4,34.965298521566645,0.777006633812592,839
10,61,0.8521301529565252,628690840.6557378,49.5301568568,0.8119697845377049,900
11,44,0.844663562115391,29577064.727272727,33.03442961646666,0.7507824912833332,944
12,91,0.8294282238642217,11538822.53021978,67.77347849424335,0.7447634999367401,1035
13,50,0.8211744538592707,5633297.485,40.39315095096665,0.807863019019333,1085
14,92,0.8062015200324091,4873341.820652174,80.90455612633332,0.8793973491992751,1177
15,68,0.7953103182615212,4108275.2647058824,55.5210837362,0.8164865255323529,1245
16,53,0.7869237177170659,3976435.4433962265,41.04194792230334,0.774376375892516,1298
17,101,0.7711857732042998,3781739.0445544557,82.46808899849994,0.8165157326584153,1399
18,79,0.7590955928939487,3541308.474683544,64.85369362686669,0.8209328307198315,1478
19,59,0.7501900205322306,3365807.7330508474,49.99301678639331,0.8473392675659883,1537
20,63,0.7407959935048573,3468682.714285714,55.09071501732667,0.8744557939258202,1600
21,52,0.7331308763394394,3595384.375,44.365622532299994,0.8531850486980768,1652
22,59,0.7245299173416933,3433816.86440678,51.541346287600014,0.8735821404677968,1711
23,81,0.7128859391456677,3400718.685185185,66.56112752776666,0.8217423151576131,1792
24,48,0.7060743011243938,3592082.7942708335,41.20150346776667,0.8583646555784723,1840
25,61,0.6975116765848146,3938252.7786885244,47.02286413556665,0.7708666251732238,1901
26,50,0.6905706287778358,4030830.22,37.068850907566656,0.7413770181513332,1951
27,69,0.6811052687471673,4375622.061594203,53.415598134090004,0.7741391033926087,2020
28,57,0.6733839914402443,4055334.6228070175,48.978515421980326,0.8592722003856198,2077
29,56,0.6658834222552548,3895907.7723214286,44.44191968566667,0.793605708672619,2133
30,51,0.6591252607323559,4263448.397058823,40.272037863899996,0.7896478012529411,2184
31,68,0.6502209532750391,4379187.577205882,57.10749094938999,0.8398160433733822,2252
32,75,0.6405394635132838,4795018.633333334,62.57003075170002,0.8342670766893335,2327
33,83,0.6299932297008598,5032604.753012048,66.94523799613333,0.8065691324835341,2410
34,95,0.6181351807205993,4312403.221052632,86.53688166346667,0.9109145438259649,2505
35,71,0.6094188221135944,5090976.841549296,53.92644214313331,0.7595273541286381,2576
36,59,0.6022692305868736,5692201.148305085,51.35979086853335,0.8705049299751416,2635
37,45,0.5968725891468613,6413319.144444444,35.590859480599995,0.7909079884577777,2680
38,55,0.590342319951466,4564750.777272727,44.91748584316666,0.8166815607848483,2735
39,46,0.5849355392426653,4302639.353260869,34.97574916173333,0.7603423730811594,2781
40,43,0.5799261638426598,3943577.395348837,33.16618727946667,0.7713066809178295,2824
41,42,0.5750747035667458,4136762.738095238,31.965163571803334,0.7610753231381746,2866
42,37,0.5708344350645013,4278407.209459459,26.99599130943333,0.7296213867414413,2903
43,49,0.5652670257094321,3682138.3775510206,37.95634679673334,0.7746193223823131,2952
44,43,0.5604260910370586,3708011.8604651163,34.43081443856669,0.8007166148503881,2995
45,44,0.5555154887024836,4401319.471590909,33.88829712073665,0.770188570925833,3039
46,125,0.5417984077384576,6489529.994,90.01075167034666,0.7200860133627733,3164
47,52,0.5361923457298017,4500457.605769231,40.28978687570002,0.7748035937634619,3216
48,90,0.5266262797700352,3943139.8972222223,78.41035867896666,0.871226207544074,3306
49,44,0.5220118403635792,7654506188.170455,33.26407361396665,0.7560016730446967,3350
50,45,0.517334346334641,15144060034161.777,35.80183790866,0.7955963979702222,3395
51,45,0.5126987650530757,83268359777302.75,32.9461676177,0.7321370581711111,3440
52,41,0.508511408059135,198582532034060.5,29.543312091633332,0.720568587600813,3481
53,48,0.5036525723728283,219287492493312.0,35.52735898929999,0.7401533122770831,3529
54,51,0.4985409187083009,1.7912319207775132e+16,41.51055108559999,0.8139323742274508,3580
55,43,0.4942714249837324,1.8204252694478084e+16,33.83192170946666,0.786788876964341,3623
