episode,ticks,epsilon,loss,total_ticks
0,121,0.9958083893695701,0.20901951908080046,121
1,110,0.9741376894917927,48.15963639129292,231
2,84,0.9579072705076311,30455.692370460147,315
3,45,0.9493239296873254,387092.12604166666,360
4,86,0.9331335752396933,1021180.3255813953,446
5,81,0.9181371109888651,1299414.1566358025,527
6,80,0.9035623685870396,17117080.528125,607
7,121,0.8819564843405011,63551272.89256199,728
8,60,0.8714352082896778,75190099.13333334,788
9,89,0.856059374876613,69320828.80898876,877
10,94,0.8401142182149497,38260987.38297872,971
11,100,0.8234771949447732,23934841.76,1071
12,51,0.81511958803062,10499891.524509804,1122
13,81,0.8020197359982768,2697812.408950617,1203
14,44,0.7949922259466294,1973488.3863636365,1247
15,52,0.7867663329735225,1702878.6514423077,1299
16,84,0.7736577679682468,1509290.025297619,1383
17,109,0.7569728861325329,1197780.4042431193,1492
18,88,0.743765409302334,2028786.0532670454,1580
19,58,0.7351867252300903,9508532.51724138,1638
20,84,0.7229375445333628,16577020.92857143,1722
21,74,0.7123158014641654,240204949.72972974,1796
22,93,0.6991878828777273,914333169.548387,1889
23,108,0.6842458849342176,972776113.7777778,1997
24,97,0.6710981454176151,798243857.814433,2094
25,79,0.6605770779057903,920225075.0379747,2173
26,100,0.647495480215163,716548028.48,2273
27,106,0.6339117143354385,602970788.5283018,2379
28,82,0.6235993237071781,533852330.9268293,2461
29,121,0.608687885080859,481061813.1570248,2582
30,112,0.5952035167763372,450364106.28571427,2694
31,73,0.5865758181045496,418006104.10958904,2767
32,78,0.5774953391694323,392817530.05128205,2845
33,55,0.5711770727714848,369691872.0,2900
34,70,0.5632355201637784,357131129.37142855,2970
35,115,0.5504276772306521,340615257.46086955,3085
36,75,0.5422320632707295,218705680.0,3160
37,85,0.5330911222346448,178452925.17647058,3245
38,60,0.5267316260952543,167793709.46666667,3305
39,94,0.5169206030012626,161161814.21276596,3399
40,54,0.5113673467116164,150735919.25925925,3453
41,55,0.5057725740708839,155209023.85454544,3508
42,74,0.4983415222824544,148584277.0810811,3582
43,100,0.488472721918232,140030426.16,3682
44,65,0.4821630472997076,127532740.3076923,3747
45,70,0.47545913114452537,122349374.74285714,3817
46,61,0.46969319685485905,117555927.08196722,3878
47,99,0.4604838242760321,110085681.93939394,3977
48,53,0.455627991524072,103132974.49056605,4030
49,96,0.44696252224428495,99615434.04166667,4126
50,51,0.44242622532045,84121423.4509804,4177
51,59,0.43723576077132503,84744961.49152543,4236
52,76,0.4306393770778989,79317468.21052632,4312
53,85,0.4233796640872272,74807001.74117647,4397
54,77,0.41690892276843805,64542806.233766235,4474
