episode,ticks,acum_reward,capped_acum_reward,avg_reward,total_ticks
0,128,121.19066834449768,0,0.9468020964413881,128
1,138,131.88120877742767,0,0.9556609331697657,267
2,110,104.62054550647736,0,0.9510958682407032,378
3,46,34.938841462135315,0,0.7595400317855503,425
4,65,59.5113605260849,0,0.9155593927089984,491
5,184,183.39838135242462,0,0.9967303334370904,676
6,54,46.96228623390198,0,0.869671967294481,731
7,319,317.41064488887787,0,0.9950176955764196,1051
8,444,445.6239986419678,0,1.0036576545990266,1496
9,89,81.67679810523987,0,0.9177168326431446,1586
10,344,352.14064252376556,0,1.0236646584993185,1931
11,209,204.84277987480164,0,0.9801089946162758,2141
12,1212,1245.8152483701706,0,1.027900369942385,3354
13,525,539.9749611616135,0,1.0285237355459305,3880
14,429,447.21689915657043,0,1.0424636343976001,4310
15,416,436.7142895460129,0,1.0497939652548387,4727
16,919,958.4422919750214,0,1.042918707263353,5647
17,1056,1090.6612296104431,0,1.0328231341007985,6704
18,1433,1506.3328604698181,0,1.0511743618072702,8138
19,720,760.2063543796539,0,1.0558421588606304,8859
20,802,836.2595694065094,0,1.0427176675891638,9662
21,1599,1654.4292460680008,0,1.0346649443827398,11262
22,434,448.38831186294556,0,1.0331527923109345,11697
23,1421,1501.528122663498,0,1.0566700370608713,13119
24,488,507.97886848449707,0,1.0409403042715104,13608
25,3000,3107.9724535942078,107.97245359420776,1.035990817864736,16609
26,991,1027.1908386945724,0,1.0365195143234838,17601
27,3000,3131.0284725427628,131.02847254276276,1.0436761575142544,20602
28,1563,1623.8264272212982,0,1.0389164601543814,22166
29,3000,3105.2358347177505,105.23583471775055,1.0350786115725834,25167
30,3000,3096.5596520900726,96.55965209007263,1.032186550696691,28168
31,3000,3095.350105881691,95.35010588169098,1.0317833686272304,31169
32,3000,3147.7498819828033,147.74988198280334,1.0492499606609345,34170
33,3000,3122.880297422409,122.88029742240906,1.040960099140803,37171
34,631,655.1765763759613,0,1.0383147010712541,37803
35,3000,3102.8086230754852,102.80862307548523,1.0342695410251617,40804
36,2563,2682.817004442215,0,1.0467487336879497,43368
37,713,736.2576923370361,0,1.0326194843436691,44082
38,3000,3113.8653551340103,113.86535513401031,1.0379551183780034,47083
39,3000,3106.084619164467,106.08461916446686,1.035361539721489,50084
